,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
114,Ardian Ismajli,al ALB,DF,Torino,29-328,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6b635f5c
115,Ardon Jashari,ch SUI,MF,Milan,24-025,2002,1,1,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,889588db
116,Pierre Kalulu,fr FRA,DF,Juventus,26-080,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,85f7d1be
117,Hassane Kamara,ci CIV,MF,Udinese,32-172,1994,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches,19a12bed
118,Jesper Karlström,se SWE,MF,Udinese,31-064,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e0a1f4eb
119,Mandela Keita,be BEL,FW,Parma,24-106,2002,1,1,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f5692b25
120,Lloyd Kelly,eng ENG,DF,Juventus,27-322,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f31def1e
121,Kialonda,ao ANG,DF,Lecce,28-331,1997,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,34e4dc3b
122,Sead Kolašinac,ba BIH,DFMF,Atalanta,33-065,1993,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3935e52e
123,Randal Kolo Muani,fr FRA,FW,Juventus,27-262,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c0b3669f
124,Abdou-Salam Konaté,sn SEN,MF,Parma,19-272,2006,1,1,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,28f5c165
125,Teun Koopmeiners,nl NED,DFMF,Juventus,28-177,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a26fb8aa
126,Odilon Kossounou,ci CIV,DF,Atalanta,25-232,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1f3afdcb
127,Eddy Kouadio,ci CIV,DF,Monza,20-086,2006,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7067db90
128,Rachid Kouda,it ITA,MF,Parma,24-030,2002,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8a9ff091
129,Nikola Krstović,me MNE,FW,Atalanta,26-141,2000,1,0,31,0.3,1,0,1,1,0,0,0,0,2.90,0.00,2.90,2.90,2.90,Matches,473803c9
