nome_tm,da_squadra,a_squadra,tipo,cambio_squadra,upgrade_squadra,tipo_prestito,coach_bonus,coach_style
Nicolò Zaniolo,Udinese Calcio,Galatasaray,definitivo,1,0,0,0.0,equilibrato
Unai Gómez,Udinese Calcio,Athletic Club,definitivo,1,0,0,0.0,equilibrato
Giorgi Chakvetadze,Udinese Calcio,Watford,definitivo,1,0,0,0.0,equilibrato
Omar Traoré,Udinese Calcio,Heidenheim,definitivo,1,0,0,0.0,equilibrato
Giulio Vinciati,Udinese Calcio,Udinese U19,definitivo,1,0,0,0.0,contropiede
Arthur Atta,Udinese Calcio,Fiorentina,definitivo,1,0,0,0.15,possesso
Martín Payero,Udinese Calcio,Watford,definitivo,1,0,0,0.0,equilibrato
Iker Bravo,Udinese Calcio,Watford,definitivo,1,0,0,0.0,equilibrato
Răzvan Sava,Udinese Calcio,CS U Craiova,definitivo,1,0,0,0.0,equilibrato
Damián Pizarro,Udinese Calcio,Audax Italiano,prestito,1,0,1,0.0,equilibrato
Leonardo Buta,Udinese Calcio,Red Star FC,definitivo,1,0,0,0.0,equilibrato
Luca Kjerrumgaard,Udinese Calcio,Watford,definitivo,1,0,0,0.0,equilibrato
Jordan Zemura,Udinese Calcio,Watford,prestito,1,0,1,0.0,equilibrato
Simone Pafundi,Udinese Calcio,Catanzaro,prestito,1,0,1,0.0,equilibrato
Abdoulaye Camara,Udinese Calcio,Ajax,prestito,1,0,1,0.0,equilibrato
Alessandro Nunziante,Udinese Calcio,Arezzo,prestito,1,0,1,0.0,equilibrato
Kingsley Ehizibue,Udinese Calcio,svincolato,definitivo,1,0,0,0.0,equilibrato
Arijanet Murić,US Sassuolo,Ipswich,definitivo,1,0,0,0.0,equilibrato
Sebastian Walukiewicz,US Sassuolo,Torino,definitivo,1,0,0,0.05,equilibrato
Rafa Obrador,US Sassuolo,Benfica,prestito,1,0,1,0.0,equilibrato
Fedde Leysen,US Sassuolo,Union SG,prestito,1,0,1,0.0,equilibrato
Kieron Bowie,US Sassuolo,Verona,prestito,1,0,1,0.05,pressing
Tommaso Macchioni,US Sassuolo,Sassuolo U20,definitivo,1,0,0,0.0,equilibrato
Giorgio Vezzosi,US Sassuolo,Sassuolo U20,definitivo,1,0,0,0.0,equilibrato
Lorenzo Nyarko,US Sassuolo,Sassuolo U20,definitivo,1,0,0,0.0,equilibrato
Tarik Muharemović,US Sassuolo,Leeds,definitivo,1,0,0,0.0,equilibrato
Ruan,US Sassuolo,Atlético-MG,definitivo,1,0,0,0.0,equilibrato
Gioele Zacchi,US Sassuolo,Union Brescia,prestito,1,-1,1,0.0,equilibrato
Luca Moro,US Sassuolo,Padova,definitivo,1,0,0,0.0,equilibrato
Borna Knezovic,US Sassuolo,Casarano,definitivo,1,0,0,0.0,equilibrato
Emerick Lopes,US Sassuolo,Alcione,definitivo,1,0,0,0.0,equilibrato
Samuele Mulattieri,US Sassuolo,Verona,prestito,1,0,1,0.05,pressing
Kevin Bruno,US Sassuolo,Vado,prestito,1,0,1,0.0,equilibrato
Kevin Leone,US Sassuolo,Arezzo,prestito,1,0,1,0.0,equilibrato
Justin Kumi,US Sassuolo,Juve Stabia,prestito,1,0,1,0.0,equilibrato
Flavio Russo,US Sassuolo,Catania,prestito,1,0,1,0.0,equilibrato
Agustín Álvarez,US Sassuolo,CA Talleres,prestito,1,0,1,0.0,equilibrato
